month,channel,spend,adstocked_spend,raw_expected_customers,efficiency_multiplier,expected_customers,actual_customers,response_type,theta,beta,k,alpha,lam
7,Content,72000.0,215377.91999999998,237.6734688006571,1.0,237.6734688006571,215,log,0.6,150.0,1.8e-05,,
8,Content,72000.0,201226.75199999998,229.6267728817063,1.0,229.6267728817063,221,log,0.6,150.0,1.8e-05,,
9,Content,180000.0,300736.0512,278.7548991855225,0.9267241379310344,258.3288936417557,250,log,0.6,150.0,1.8e-05,,
10,Content,180000.0,360441.63072,301.99424630875995,0.9267241379310344,279.865357570618,267,log,0.6,150.0,1.8e-05,,
11,Content,180000.0,396264.97843200003,314.38522968021823,0.9267241379310344,291.34838095365046,298,log,0.6,150.0,1.8e-05,,
12,Content,216000.0,453758.9870592,332.35233997796286,0.8811475409836066,292.85144711172956,291,log,0.6,150.0,1.8e-05,,
1,Organic,40000.0,40000.0,55.19201522549891,1.0,55.19201522549891,54,log,0.5,70.0,3e-05,,
2,Organic,40000.0,60000.0,72.07335920268109,1.0,72.07335920268109,70,log,0.5,70.0,3e-05,,
3,Organic,40000.0,70000.0,79.19814780437704,1.0,79.19814780437704,67,log,0.5,70.0,3e-05,,
4,Organic,32000.0,67000.0,77.13580551325491,1.0,77.13580551325491,68,log,0.5,70.0,3e-05,,
5,Organic,32000.0,65500.0,76.08139227147822,1.0,76.08139227147822,81,log,0.5,70.0,3e-05,,
6,Organic,32000.0,64750.0,75.54816921066063,1.0,75.54816921066063,82,log,0.5,70.0,3e-05,,
7,Organic,24000.0,56375.0,69.30040387875052,1.0,69.30040387875052,75,log,0.5,70.0,3e-05,,
8,Organic,24000.0,52187.5,65.95414795610593,1.0,65.95414795610593,56,log,0.5,70.0,3e-05,,
9,Organic,60000.0,86093.75,89.33036745529309,0.8082706766917293,72.20311655221057,81,log,0.5,70.0,3e-05,,
10,Organic,60000.0,103046.875,98.62221161560774,0.8082706766917293,79.71344171938219,71,log,0.5,70.0,3e-05,,
11,Organic,60000.0,111523.4375,102.84312986925829,0.8082706766917293,83.1250861725208,96,log,0.5,70.0,3e-05,,
12,Organic,72000.0,127761.71875,110.28056753463585,0.7119205298013245,78.5110000660487,79,log,0.5,70.0,3e-05,,
1,LinkedIn,268000.0,268000.0,199.8528123059262,1.0,199.8528123059262,187,log,0.45,120.0,1.6e-05,,
2,LinkedIn,268000.0,388600.0,237.18269852063935,1.0,237.18269852063935,272,log,0.45,120.0,1.6e-05,,
3,LinkedIn,268000.0,442870.0,250.81491330315632,1.0,250.81491330315632,220,log,0.45,120.0,1.6e-05,,
4,LinkedIn,214400.0,413691.5,243.67842330097113,1.0,243.67842330097113,229,log,0.45,120.0,1.6e-05,,
5,LinkedIn,214400.0,400561.17500000005,240.32311392547487,1.0,240.32311392547487,225,log,0.45,120.0,1.6e-05,,
6,LinkedIn,214400.0,394652.52875000006,238.78206472883704,1.0,238.78206472883704,231,log,0.45,120.0,1.6e-05,,
7,LinkedIn,160800.0,338393.6379375,223.02355119962363,1.0,223.02355119962363,199,log,0.45,120.0,1.6e-05,,
8,LinkedIn,160800.0,313077.13707187504,215.1956781988086,1.0,215.1956781988086,229,log,0.45,120.0,1.6e-05,,
9,LinkedIn,402000.0,542884.7116823437,272.4837103531462,0.8344977487967706,227.3870428734918,217,log,0.45,120.0,1.6e-05,,
10,LinkedIn,402000.0,646298.1202570547,291.4085028644949,0.8344977487967706,243.17973962065827,273,log,0.45,120.0,1.6e-05,,
11,LinkedIn,402000.0,692834.1541156746,299.0392419391281,0.8344977487967706,249.54757420009523,268,log,0.45,120.0,1.6e-05,,
12,LinkedIn,482400.0,794175.3693520536,314.1470989444699,0.7587306964794895,238.35304717914877,219,log,0.45,120.0,1.6e-05,,
1,Display,40000.0,40000.0,30.282501295909164,1.0,30.282501295909164,27,log,0.3,90.0,1e-05,,
2,Display,40000.0,52000.0,37.68393013723665,1.0,37.68393013723665,27,log,0.3,90.0,1e-05,,
3,Display,40000.0,55600.0,39.79065831805799,1.0,39.79065831805799,43,log,0.3,90.0,1e-05,,
4,Display,32000.0,48680.0,35.69635434968641,1.0,35.69635434968641,40,log,0.3,90.0,1e-05,,
5,Display,32000.0,46604.0,34.43083993996486,1.0,34.43083993996486,33,log,0.3,90.0,1e-05,,
6,Display,32000.0,45981.2,34.047689427518364,1.0,34.047689427518364,41,log,0.3,90.0,1e-05,,
7,Display,24000.0,37794.36,28.853301858427706,1.0,28.853301858427706,34,log,0.3,90.0,1e-05,,
8,Display,24000.0,35338.308,27.234669860157577,1.0,27.234669860157577,24,log,0.3,90.0,1e-05,,
9,Display,60000.0,70601.4924,48.07441772816775,1.0,48.07441772816775,42,log,0.3,90.0,1e-05,,
10,Display,60000.0,81180.44772,53.48909676453088,1.0,53.48909676453088,55,log,0.3,90.0,1e-05,,
11,Display,60000.0,84354.134316,55.05195284012531,1.0,55.05195284012531,50,log,0.3,90.0,1e-05,,
12,Display,72000.0,97306.2402948,61.16281694986452,1.0,61.16281694986452,47,log,0.3,90.0,1e-05,,
1,Direct,0.0,0.0,60.0,1.0,60.0,43,fixed,0.1,,,,
2,Direct,0.0,0.0,60.0,1.0,60.0,59,fixed,0.1,,,,
3,Direct,0.0,0.0,60.0,1.0,60.0,60,fixed,0.1,,,,
4,Direct,0.0,0.0,60.0,1.0,60.0,61,fixed,0.1,,,,
5,Direct,0.0,0.0,60.0,1.0,60.0,56,fixed,0.1,,,,
6,Direct,0.0,0.0,60.0,1.0,60.0,52,fixed,0.1,,,,
7,Direct,0.0,0.0,60.0,1.0,60.0,59,fixed,0.1,,,,
8,Direct,0.0,0.0,60.0,1.0,60.0,57,fixed,0.1,,,,
9,Direct,0.0,0.0,60.0,1.0,60.0,67,fixed,0.1,,,,
10,Direct,0.0,0.0,60.0,1.0,60.0,68,fixed,0.1,,,,
11,Direct,0.0,0.0,60.0,1.0,60.0,52,fixed,0.1,,,,
12,Direct,0.0,0.0,60.0,1.0,60.0,70,fixed,0.1,,,,
1,Account_Based,442000.0,442000.0,263.06745249286104,0.9950018511662346,261.7526022119822,235,hill,0.55,300.0,,1.25,1600000.0
2,Account_Based,442000.0,685100.0,277.47564359259013,0.9950018511662346,276.08877902816954,304,hill,0.55,300.0,,1.25,1600000.0
3,Account_Based,442000.0,818805.0,281.70078608375735,0.9950018511662346,280.292803628322,299,hill,0.55,300.0,,1.25,1600000.0
4,Account_Based,353600.0,803942.75,281.3033627233652,1.0,281.3033627233652,274,hill,0.55,300.0,,1.25,1600000.0
5,Account_Based,353600.0,795768.5125,281.078148556492,1.0,281.078148556492,250,hill,0.55,300.0,,1.25,1600000.0
6,Account_Based,353600.0,791272.681875,280.9522048415224,1.0,280.9522048415224,299,hill,0.55,300.0,,1.25,1600000.0
7,Account_Based,265200.0,700399.97503125,278.044110772387,1.0,278.044110772387,282,hill,0.55,300.0,,1.25,1600000.0
8,Account_Based,265200.0,650419.9862671876,276.0849968753283,1.0,276.0849968753283,281,hill,0.55,300.0,,1.25,1600000.0
9,Account_Based,663000.0,1020730.9924469532,285.9007456929718,0.9111327711149723,260.49353868707436,247,hill,0.55,300.0,,1.25,1600000.0
10,Account_Based,663000.0,1224402.0458458243,288.6602895000006,0.9111327711149723,263.0078494829857,265,hill,0.55,300.0,,1.25,1600000.0
11,Account_Based,663000.0,1336421.1252152035,289.7957105179561,0.9111327711149723,264.04236878145764,233,hill,0.55,300.0,,1.25,1600000.0
12,Account_Based,795600.0,1530631.6188683622,291.3416680046433,0.8672712017555183,252.67223853184422,252,hill,0.55,300.0,,1.25,1600000.0
